,berry,blackberry,cherry,citrus,other,raspberry
77718,0,0,0,0,1,0
67681,0,0,0,0,1,0
69877,0,0,0,0,1,0
46544,0,0,1,0,0,0
186,0,0,1,0,0,0
73126,0,0,0,0,1,0
26800,0,0,1,0,0,0
80832,0,0,0,0,1,0
86297,1,0,0,0,0,0
56015,0,0,0,0,1,0
78536,0,0,1,0,0,0
41016,0,0,0,0,1,0
81019,0,0,0,0,1,0
129762,0,1,0,0,0,0
34634,0,0,0,0,1,0
20284,0,0,1,0,0,0
111397,0,0,0,0,1,0
26153,0,0,0,0,1,0
110148,0,0,0,0,0,1
125453,0,0,0,0,0,1
69961,0,0,0,0,1,0
73036,0,0,1,0,0,0
42766,0,0,0,0,1,0
96340,0,0,0,0,1,0
9203,0,0,0,0,1,0
88712,0,0,0,0,1,0
38625,0,0,0,0,1,0
74575,0,0,0,0,0,1
129599,0,0,0,1,0,0
2062,0,0,0,1,0,0
59333,0,0,0,0,0,1
51953,0,0,0,0,0,1
50600,0,0,0,0,1,0
93473,0,0,0,0,1,0
105270,0,0,0,0,0,1
25069,0,0,0,0,1,0
1472,0,0,0,0,1,0
54640,0,0,1,0,0,0
118066,0,1,0,0,0,0
123779,0,0,0,0,1,0
73985,0,0,0,0,1,0
48269,0,1,0,0,0,0
88504,0,0,0,0,1,0
102631,0,0,0,0,1,0
64187,0,0,1,0,0,0
124726,0,0,1,0,0,0
118840,0,0,0,0,1,0
121814,0,0,0,0,1,0
81493,0,0,0,1,0,0
54403,0,0,0,0,1,0
59409,0,0,0,0,1,0
15304,0,0,0,0,1,0
82129,0,0,0,0,1,0
76560,0,1,0,0,0,0
51109,0,1,0,0,0,0
102586,0,0,1,0,0,0
32929,0,0,1,0,0,0
95685,0,0,0,0,1,0
20890,0,0,0,0,1,0
121044,0,0,0,0,1,0
18994,0,0,1,0,0,0
105027,1,0,0,0,0,0
52944,0,0,0,0,1,0
116906,1,0,0,0,0,0
111902,0,0,0,0,1,0
60339,0,0,0,0,1,0
70973,0,0,1,0,0,0
91899,0,1,0,0,0,0
47784,0,0,0,0,1,0
32932,0,0,0,0,1,0
112172,0,0,0,0,1,0
67146,0,0,1,0,0,0
99544,1,0,0,0,0,0
103101,0,0,0,1,0,0
122742,0,0,1,0,0,0
126798,0,0,0,0,1,0
5832,0,0,0,0,1,0
114039,0,1,0,0,0,0
43192,0,0,0,0,1,0
31522,0,1,0,0,0,0
67887,0,0,0,0,1,0
45639,0,0,0,0,1,0
8953,0,0,0,0,1,0
83874,0,0,0,0,1,0
127356,0,0,0,0,1,0
105324,0,0,0,0,1,0
83215,1,0,0,0,0,0
108318,1,0,0,0,0,0
95823,0,0,1,0,0,0
4813,0,0,0,0,1,0
58208,0,0,0,0,1,0
37635,0,0,1,0,0,0
116115,0,0,1,0,0,0
65870,0,0,0,0,1,0
67486,0,0,0,0,1,0
42529,0,0,0,0,1,0
