,0,1,2,3,4,5
0,2.144744813088831e-115,0.0,0.0,0.9999999999999998,1.3739513499195366e-16,0.0
1,3.290935821316596e-40,3.335096667494549e-148,1.0022434421631679e-28,8.689063725645748e-31,4.683393057332686e-45,1.0
2,4.111780394323756e-70,1.0,8.90299451582908e-94,4.254294717276805e-60,1.2420649559547372e-79,3.0273569257748312e-24
3,4.7209909019211214e-122,1.0,2.2907556035052748e-89,1.2855340025393645e-137,2.076426241013747e-128,2.417333590412795e-76
4,1.8003488506556924e-113,1.0,1.9769046603638083e-82,1.306363153153217e-105,3.5659983925320626e-117,2.606240872232433e-62
5,1.3137256044807383e-113,0.0,0.0,0.9999999999999543,4.5646985430370564e-14,0.0
6,1.4441888277380066e-107,1.0,3.232405234727221e-85,4.155980494198614e-99,3.603362748527783e-111,5.193468665017233e-60
7,2.155424969367913e-119,0.0,0.0,1.0,7.0828900852133125e-19,0.0
8,1.6387589469560372e-119,1.0,7.77298512123768e-99,2.6528253568382012e-135,4.2345366452473404e-126,3.93227184043653e-77
9,1.611055756127308e-43,6.511837219518106e-150,1.092669135371897e-49,5.243535080808287e-34,4.402386877477235e-48,1.0
10,2.9071857413611862e-126,1.0,1.1028287273606163e-99,1.760627237176099e-126,1.4468177882155539e-130,2.269738452444933e-78
11,1.3809042536143484e-107,1.0,2.033750426079688e-103,3.4744772656546486e-95,2.4260981387189868e-108,5.329637282850583e-68
12,1.9131052008308284e-107,1.0,2.81566979325091e-103,4.974270617538043e-95,3.3730931754137917e-108,7.3597274134021465e-68
13,2.5445094482764187e-118,1.0,2.4201310687973882e-142,9.78890382406756e-247,8.719767340306625e-132,4.588231523672454e-68
14,3.244670808862483e-23,1.0,1.0307145137237202e-167,0.0,2.8584881914142986e-27,1.1302056745320378e-207
15,1.1517772100104996e-92,1.0,5.906360819199146e-55,8.246444475538897e-73,1.5631108604763563e-90,9.46249470714127e-42
16,3.141418382176538e-252,0.0,0.0,1.0,8.598623317735158e-18,0.0
17,3.9579307745075856e-113,0.0,4.606432347527405e-185,1.0,2.0305496589722765e-17,8.394377558975107e-295
18,1.206977941758239e-113,1.0,1.7525925208411006e-80,1.954915645792125e-98,3.878027583802816e-113,1.596115654179391e-68
19,1.914596815277721e-119,1.0,1.3486397340247506e-87,2.741323654333418e-107,6.915640785240161e-121,3.425577325755327e-72
20,1.59066483779348e-75,0.0,0.0,1.0,5.155258594323283e-21,0.0
21,1.5878329588450747e-118,1.0,1.111889939735881e-94,1.4039633866426232e-131,2.610821408164764e-124,3.9824516540828866e-77
22,7.456992047765789e-120,1.0,5.651906747077193e-88,1.5164648618447274e-107,3.117070790910676e-121,4.339220592772389e-72
23,8.4634203966167e-120,1.0,6.399457240932277e-88,1.6624769118275543e-107,3.464078940733716e-121,4.389486315734918e-72
24,1.1078006061377707e-106,1.0,2.0492200873712923e-305,1.822808533691408e-90,9.834972749745051e-104,1.354006827139708e-116
25,8.432213838636984e-114,1.0,1.2176205798143494e-80,1.400417047480903e-98,2.734598776071899e-113,1.3009032039840498e-68
26,6.168141678956046e-71,1.0,5.140713149458794e-145,1.5112181280910108e-61,8.426869644779348e-81,6.0449979407700306e-24
27,2.451178625343143e-123,1.0,3.8663031447600856e-91,3.14883830996451e-120,6.073349639888674e-126,5.813372997990731e-78
28,2.362722741405172e-108,1.0,2.8242373984856813e-99,7.903785475128554e-88,3.613768318468525e-104,5.4833614987869335e-53
29,2.2417563750064514e-66,0.0,0.0,0.9999999989900845,1.0099155624751823e-09,0.0
30,1.2514982250548662e-93,1.0,1.3137746221774829e-145,1.3136822217308862e-86,2.6581030536311393e-104,3.0300072647176615e-99
31,4.3852416378677476e-117,1.0,5.203872425287288e-89,4.279958618041192e-103,2.22133477746701e-118,1.918577282123018e-69
32,5.807660206765e-113,0.0,0.0,0.9999999999998967,1.0333916541373804e-13,0.0
33,3.780327779219128e-107,1.0,8.103587528961607e-306,5.534325389880271e-91,3.4393415610522416e-104,3.037445648701319e-119
34,1.6447323454325901e-103,1.0,1.262049008141831e-73,1.686341895380404e-170,1.1941532887136492e-110,4.225931174897546e-55
35,5.332522157163085e-99,1.0,3.029153730266936e-300,2.1270052567204975e-182,2.4952747341916136e-102,6.319898589624485e-156
36,7.380118138036107e-110,1.0,9.22278631903068e-79,2.6577051575587477e-137,1.2455511307244558e-117,2.071192620979173e-68
37,1.382028423832863e-70,1.0,3.0131912497773465e-94,1.4089096992157985e-60,4.0796551293903776e-80,1.2177442641544632e-24
38,1.7763220526542108e-141,1.0,1.542350636055983e-125,2.7726102522265674e-224,1.4841950669824913e-145,6.98822938424665e-142
39,2.1950868935528302e-108,1.0,4.179293801631134e-307,1.3564399047217395e-92,2.352744063697745e-105,9.515524384342523e-127
40,6.003307622419862e-83,1.0,1.112972275608165e-283,4.0565256291253366e-169,4.010614003150787e-85,2.5171851292130138e-163
41,2.8495108192179853e-104,1.0,6.872683258267649e-81,5.558527688747823e-119,1.6339131132552056e-112,9.605424178460892e-63
42,1.7700381861990714e-117,1.0,2.280582346511114e-89,1.9406292307750756e-103,9.051998906965269e-119,7.724515691575782e-70
43,7.478181000645198e-20,1.0,2.2060253703052103e-164,0.0,7.119400734170183e-24,5.65551072984986e-208
44,5.388863627227237e-114,1.0,3.5532140588656116e-82,1.8943529523527555e-182,2.230221312475976e-118,8.122260099120003e-71
45,1.148385942385394e-117,1.0,1.489650139341881e-89,1.2919812447020787e-103,5.929389974698829e-119,4.531837454972698e-70
46,2.1818278316453575e-108,1.0,9.923092462221828e-69,2.085382752702367e-278,1.426180946847261e-137,1.6034708992086343e-70
47,5.062305638621679e-98,1.0,4.202528858393716e-299,2.9320266186184323e-181,2.4049142678925783e-101,3.915105701627736e-155
48,1.7658048984263627e-92,1.0,9.112143956905064e-55,1.2482280505714785e-72,2.3694507048538333e-90,1.5419766107788888e-41
49,1.708443638681179e-113,0.0,0.0,0.9999999999999465,5.344687917217989e-14,0.0
50,9.996141516931745e-112,1.0,9.499469307523773e-81,1.2742432969447352e-139,1.3719551586538573e-119,3.3564711736002504e-70
51,3.932992110456657e-129,1.0,1.6564822016425461e-78,2.052206609384071e-116,5.933586391296451e-127,8.800165106363792e-98
52,2.1297901028877232e-113,0.0,0.0,0.9999999999999096,9.039156984330024e-14,0.0
53,7.135667381255893e-113,1.0,1.0452735257323717e-79,9.699501290858927e-98,2.208256745002127e-112,3.6676244875228313e-68
54,3.989840360279604e-128,1.0,1.4373317085378282e-100,1.338352741270073e-129,1.0902249610345074e-133,6.787245364588292e-80
55,6.782638990308633e-105,1.0,8.457118490199898e-69,3.8718937499768574e-173,4.6537776371763435e-113,2.5346274614150696e-55
56,6.699995793775988e-120,1.0,3.993677185024079e-90,1.589083761672798e-106,1.0820525549628664e-121,3.2070173781516564e-74
57,3.401603294874347e-111,1.0,1.129723282580118e-155,5.4046299233125464e-238,4.482074164485281e-122,9.950469743892656e-61
58,0.0,0.0,0.0,0.9999999999999973,2.575788348692511e-15,0.0
59,1.6809751810496229e-108,1.0,1.9886847886196756e-99,5.525697028650517e-88,2.4503566193859827e-104,3.1075989835050462e-53
60,6.353800051404039e-129,1.0,2.1480145711803434e-78,3.5039534535798647e-116,9.777349263897152e-127,1.8637650752239827e-95
61,1.4984275836342818e-107,1.0,2.207099041300982e-103,3.803371080798895e-95,2.634652445468557e-108,5.78973131430371e-68
62,1.445720617560075e-107,1.0,3.174611096354932e-85,3.989827067015386e-99,3.523985769348585e-111,6.271498987187108e-60
63,6.040939479049955e-71,0.0,0.0,0.9999995985057921,4.0149420783043755e-07,5.348e-320
64,9.38009237363005e-118,1.0,7.856800929552628e-88,5.926461200883922e-132,2.3000821492720546e-123,1.0122470826659448e-71
65,3.771337194604798e-76,1.0,9.29282960861167e-36,1.8812345057501247e-36,6.400107988913767e-58,6.084799007687677e-184
66,1.2379120451108764e-93,1.0,2.4584563665926396e-63,4.4356212891646e-93,3.486817945147039e-96,1.0608419869772293e-51
67,2.2771847593868133e-72,1.0,4.958409391985886e-96,2.083356599713805e-62,6.224402146368572e-82,3.273616407061691e-26
68,2.95249022882944e-73,0.0,0.0,1.0,2.533703894190072e-47,0.0
69,8.492131247138927e-52,0.0,3.58732336440372e-171,0.9999999999995721,4.279373938241495e-13,0.0
70,4.2071050325169306e-61,1.0515734638292773e-12,1.9604482467816958e-62,1.6890513487000227e-40,8.596479597278542e-67,0.9999999999989484
71,6.024656565540082e-110,1.0,7.486000315687022e-77,9.300385488447533e-102,1.2471998967590094e-113,1.5986406612585942e-60
72,2.353907721514364e-43,0.0,8.934649891607698e-106,7.752929070655678e-26,2.1217853501355056e-42,1.0
73,1.0543935735814682e-106,1.0,1.637742921169784e-71,6.15229523608942e-69,1.0171838166777867e-104,2.5875151240210365e-70
74,1.495925762114165e-103,1.0,1.714216258401523e-70,7.704592522262424e-93,5.756558920047291e-106,8.302302756478407e-55
75,9.315685206608212e-108,1.0,9.80545947461994e-99,2.9044545990001997e-87,1.786368522894381e-103,3.3809546339520915e-52
76,6.693208137272097e-107,1.0,1.3391558923159915e-305,1.0595054508094278e-90,5.993511089340736e-104,8.023618814566838e-118
77,6.097853217725272e-117,1.0,9.046323437451853e-87,3.610836293026988e-133,3.912763243320106e-124,4.805804534302123e-77
78,1.0002857940265478e-119,1.0,7.519001808564521e-88,1.866410022821314e-107,3.9845826198906685e-121,4.370174496019165e-72
79,1.622172031527343e-92,1.0,4.145841810098924e-62,2.196001711466489e-118,1.0933880067998618e-101,4.318870138799641e-51
80,1.6376187219066068e-74,0.0,4.8966066020445465e-77,1.0,2.7214182872484407e-18,0.0
81,1.3742594308978293e-123,1.0,6.930797209365198e-98,3.4804239180473506e-112,1.9214080382837968e-125,1.6406028503852044e-74
82,9.956882787243538e-120,1.0,1.060504975600454e-196,9.923457950027909e-250,4.3262914788540765e-133,7.322964123625709e-70
83,1.4390099983990662e-107,1.0,2.993128710220743e-85,3.5369988482525112e-99,3.341211722449946e-111,8.826890549394228e-60
84,5.332522157163085e-99,1.0,3.029153730266936e-300,2.1270052567204975e-182,2.4952747341916136e-102,6.319898589624485e-156
85,4.712302085943908e-35,0.0,1.8041925290605505e-94,1.7514188682180703e-10,5.292187588053902e-26,0.9999999998248581
86,7.290194621120256e-72,1.0,6.12228992312759e-146,1.815559851221968e-62,9.825580160908762e-82,7.749419017141789e-25
87,1.3129395252845943e-117,1.0,9.221267584395848e-89,1.221068588210016e-105,1.0307012108976723e-118,1.541834811457693e-69
88,1.1080081532155024e-123,1.0,1.4016455411822523e-95,9.173412802516209e-128,1.0486735321861909e-128,3.536041807818501e-77
89,1.206977941758239e-113,1.0,1.7525925208411006e-80,1.954915645792125e-98,3.878027583802816e-113,1.596115654179391e-68
90,1.523742511558164e-51,0.0,3.7214327967493523e-171,0.999999999999138,8.619403995361596e-13,0.0
91,3.473975338543117e-117,1.0,8.030814856970663e-87,3.035035709930418e-131,7.311325425026599e-123,9.459649520710973e-72
92,1.909310970820309e-102,1.0,1.4686941076299626e-72,1.772875804605144e-169,1.375216121033082e-109,8.76612900784378e-54
93,1.1323664471891634e-43,1.0,3.9859248062057955e-40,1.5114231778534987e-70,1.3066597261372724e-52,1.3045700896048447e-97
94,1.9830256124359345e-105,1.0,9.922820541727114e-221,2.265354381077043e-90,8.546120554185087e-110,5.344416443686444e-63
95,1.206977941758239e-113,1.0,1.7525925208411006e-80,1.954915645792125e-98,3.878027583802816e-113,1.596115654179391e-68
96,7.301282414077452e-101,1.0,8.054393461902306e-66,3.32304602480285e-167,5.142244439587516e-108,1.2863323197994998e-51
97,4.5234259181865133e-119,1.0,3.35372222057741e-92,1.466022562833683e-106,2.5710148821801187e-120,1.290845041530774e-72
98,0.0,0.0,0.0,0.9999999999999993,6.221447589588729e-16,0.0
99,1.51124027350708e-70,0.0,0.0,0.9999999999997824,2.1761332388198676e-13,0.0
100,1.6798279492584584e-72,0.0,0.0,0.9999999999999996,3.6281324471704593e-16,0.0
101,8.87942697001995e-120,1.0,3.079756044780517e-87,1.432117062233832e-122,2.1698278516696305e-124,2.7107080360778385e-77
102,2.916184998920809e-28,0.0,4.625117653231854e-306,0.9999999999999996,3.4103232956930134e-16,6.390646314160376e-55
