unit,sex,age,icd10,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 
RT,F,TOTAL,E10-E14,AT	32.62 	33.62 	31.77 	32.88 	35.58 	32.98 	31.89 p
RT,F,TOTAL,E10-E14,BE	14.08 	15.02 	13.51 	12.78 	12.16 	10.75 	11.14 p
RT,F,TOTAL,E10-E14,BG	21.53 	22.96 	18.73 	20.14 	22.92 	19.84 	19.48 p
RT,F,TOTAL,E10-E14,CH	14.51 	14.02 	14.96 	13.29 	14.08 	14.07 	11.8 p
RT,F,TOTAL,E10-E14,CY	68.15 	62.23 	64.86 	66.04 	59.49 	41.61 	56.03 p
RT,F,TOTAL,E10-E14,CZ	26.76 	23.73 	40.19 	36.88 	38.16 	38.26 	36.33 p
RT,F,TOTAL,E10-E14,DE	25.16 d	25.29 d	25.52 	23.15 	24.12 	22.01 	23.26 p
RT,F,TOTAL,E10-E14,DK	21.43 	20.27 	20.65 	19.09 	20.65 	19.16 	18.73 p
RT,F,TOTAL,E10-E14,EE	12.86 	8.93 	10.13 	11.58 	9.56 	10.82 	12.12 p
RT,F,TOTAL,E10-E14,EL	8.04 	8.31 	10.28 	11.68 	12.45 	12.19 	15.17 p
RT,F,TOTAL,E10-E14,ES	21.06 	20.02 	18.29 	18.12 	18.33 	16.34 	16.7 p
RT,F,TOTAL,E10-E14,EU27_2020	22.43 	22.45 	21.76 	20.58 	21.72 	20.36 	: 
RT,F,TOTAL,E10-E14,EU28	20.66 d	20.6 d	20.18 d	19.31 	20.31 	19.12 	: 
RT,F,TOTAL,E10-E14,FI	6.86 	6.82 	7.01 	6.94 	7.15 	7.18 	7.09 p
RT,F,TOTAL,E10-E14,FR	14.4 	14.56 	14.25 	13.57 	14.12 	13.23 	: 
RT,F,TOTAL,E10-E14,HR	28.22 	31.05 d	28.29 	32.31 	38.91 	44.21 	54.73 p
RT,F,TOTAL,E10-E14,HU	30.14 d	29.54 d	26.08 	25.88 	27.34 	26.36 	29.85 p
RT,F,TOTAL,E10-E14,IE	13.83 	15.45 	15.43 	12.68 	13.87 	12.29 	13.46 p
